Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2021-10-12,2021-10-12,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,41.35,CAD,-124.05,CAD
2021-10-12,2021-10-12,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,10,24.48,CAD,-244.8,CAD
2021-10-08,2021-10-08,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,4,38.31,CAD,-153.24,CAD
2021-10-08,2021-10-08,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,6,26.87,CAD,-161.22,CAD
2021-10-07,2021-10-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,17,15.69,CAD,-266.73,CAD
2021-10-04,2021-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,897,0,,170.43,CAD
2021-10-04,2021-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0,,175.44,CAD
2021-10-04,2021-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1723,0,,258.45,CAD
2021-10-04,2021-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,757,0,,151.4,CAD
2021-10-04,2021-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,6901,0,,276.04,CAD
2021-10-04,2021-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,21.4,CAD

