Transaction Type=All,Product Type=All,Symbol=,From=2023-12-17,To=2023-09-18
Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
----------------,---------------,--------------------,-----------,------,--------,-----,--------,------------,--------
2023-12-12,2023-12-12,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-12-08,2023-12-08,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,46,0, ,-621.41,CAD
2023-12-08,2023-12-08,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,12,0, ,-172.44,CAD
2023-12-05,2023-12-05,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-12-04,2023-12-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15705,0, ,628.2,CAD
2023-12-04,2023-12-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2926,0, ,175.56,CAD
2023-11-29,2023-12-01,Buy,BERKSHIRE HATHAWAY CDR CAD HED,BRK,60,27.54,CAD,-1662.35,CAD
2023-11-28,2023-11-28,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-11-21,2023-11-21,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-11-14,2023-11-14,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-11-07,2023-11-07,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,12,0, ,-164.52,CAD
2023-11-07,2023-11-07,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-11-07,2023-11-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,47,0, ,-614.28,CAD
2023-11-02,2023-11-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15658,0, ,626.32,CAD
2023-11-02,2023-11-02,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2914,0, ,174.84,CAD
2023-10-31,2023-10-31,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-24,2023-10-24,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-17,2023-10-17,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-11,2023-10-11,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,13,0, ,-173.55,CAD
2023-10-11,2023-10-11,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,48,0, ,-614.33,CAD
2023-10-11,2023-10-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,29,0, ,-728.77,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,7,0, ,-309.25,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,0, ,-192.7,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,20,0, ,-508.4,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P 500 HEDGED TO CAD INDE,ZUE,2,0, ,-118.93,CAD
2023-10-10,2023-10-10,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-04,2023-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15610,0, ,624.4,CAD
2023-10-04,2023-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,3733,0, ,746.6,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,1244,0, ,335.88,CAD
2023-10-04,2023-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,624,0, ,137.28,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0, ,204.68,CAD
2023-10-04,2023-10-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2901,0, ,174.06,CAD
2023-10-04,2023-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,2298,0, ,528.54,CAD
2023-10-03,2023-10-03,Contribution,CONTRIBUTION, ,0,0, ,150,CAD

